City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
401,Isoka,ZM,61.43,overcast clouds,-10.1606,32.6335,Location Compound
402,Monte Gordo,PT,55.26,overcast clouds,37.1819,-7.4523,Alcazar Hotel & Spa
403,Geraldton,AU,75.61,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
404,Comodoro Rivadavia,AR,62.46,clear sky,-45.8667,-67.5,Austral Hotel
405,Tandil,AR,62.92,scattered clouds,-37.3217,-59.1332,Hostal de la Sierra Tandil
406,La Asuncion,VE,76.15,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
408,Morrope,PE,77.59,broken clouds,-6.5417,-80.0111,CASA WAYRA HOTEL
410,Mecca,SA,68.92,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
411,Dunedin,NZ,66.79,few clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
414,Half Moon Bay,US,63.79,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
415,Sokoto,NG,77.0,overcast clouds,13.0609,5.239,Grand Ibro Hotel
416,Santiago De Cao,PE,69.93,fog,-7.9589,-79.2392,Villa Konecta - Casa de vacaciones
417,Jibuti,DJ,69.98,scattered clouds,11.5,42.5,Orchid Main Camp Goubet
420,Rincon,US,45.86,clear sky,32.296,-81.2354,Days Inn Rincon
421,Lata,PT,46.08,overcast clouds,40.1629,-8.3327,Casa Maquia
422,Itarema,BR,77.72,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
426,Nouadhibou,MR,63.28,clear sky,20.931,-17.0347,El Medina
428,Djambala,CG,67.51,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
429,Pacific Grove,US,62.46,clear sky,36.6177,-121.9166,Lovers Point Inn
430,Antequera,ES,52.93,light rain,37.0194,-4.5612,Convento de la Magdalena
431,Praya,CV,68.54,few clouds,14.9215,-23.5087,LT Aparthotel
434,Necochea,AR,58.86,clear sky,-38.5473,-58.7368,dyd -mar Hotel
436,Codrington,AU,72.63,light rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
437,Jalu,LY,52.38,clear sky,29.0331,21.5482,صاحبة الفخامة
438,Yago,MX,72.36,clear sky,21.8333,-105.0667,
440,Mana,GF,76.12,overcast clouds,5.6592,-53.7767,LE SAMANA
441,Wukari,NG,77.61,broken clouds,7.85,9.7833,Elimtop
443,Bubaque,GW,75.45,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
444,Hambantota,LK,76.87,broken clouds,6.1241,81.1185,Bungalow 63
445,Kincardine,GB,46.65,few clouds,56.0667,-3.7167,Premier Inn Falkirk North hotel
446,Helden,DE,48.85,overcast clouds,51.115,7.9519,Burghotel Schnellenberg
448,Shingu,JP,68.14,clear sky,33.7333,135.9833,Shingu UI Hotel
451,Anshun,CN,60.55,overcast clouds,26.25,105.9333,安顺麦吉风格酒店
452,Gberia Fotombu,SL,74.55,overcast clouds,9.8833,-11.1667,
455,Hun,LY,56.52,clear sky,29.1268,15.9477,Alrwasi Hotel
458,Castano Primo,IT,45.43,broken clouds,45.5536,8.7754,"Hotel & Ristorante ""Da Mariuccia"""
459,Viedma,AR,72.27,broken clouds,-40.8135,-62.9967,Hotel Cristal
461,Nautla,MX,62.55,scattered clouds,20.2167,-96.7833,Casa Blanca
463,Ballina,AU,72.01,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
464,Unai,BR,71.06,broken clouds,-16.3575,-46.9061,Hotel Regente
465,Siavonga,ZM,71.83,few clouds,-16.5382,28.7088,Lavongora Waterfront Lodge
466,Pampierstad,ZA,61.97,light rain,-27.7832,24.6877,BAROLONG METHODIST CHURCH
469,Kindu,CD,69.1,overcast clouds,-2.95,25.95,Résidence Okanda
473,Bilma,NE,64.71,clear sky,18.6853,12.9164,Expeditions Ténére voyages
478,Pampas,PE,49.14,overcast clouds,-12.4,-74.9,Pamuri Andes Lodge
479,Kuito,AO,60.04,overcast clouds,-12.3833,16.9333,Herdeiros de Antunes Capusso
481,Owando,CG,70.72,scattered clouds,-0.4819,15.8999,Exaunel Hotel Owando
486,Belluru,IN,66.99,clear sky,12.9911,76.7444,Hotel Mayura
487,Piombino,IT,52.59,overcast clouds,42.9348,10.5221,Hotel Ariston
489,Yanam,IN,69.8,few clouds,16.7333,82.2167,The Regency Hotel
496,Novo Aripuana,BR,74.16,heavy intensity rain,-5.1206,-60.3797,Hotel Ezequiel
497,Praia Da Vitoria,PT,53.76,broken clouds,38.7333,-27.0667,Hotel Branco I
498,Chenzhou,CN,75.88,broken clouds,25.8,113.0333,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
500,Ibiruba,BR,62.89,overcast clouds,-28.6275,-53.0897,Hotel Pitangueira - O melhor serviço pelo menor preço.
506,Laguna,US,66.06,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
509,Tatawin,TN,56.05,overcast clouds,32.9297,10.4518,Sangho Privilege Tataouine
510,Najran,SA,64.49,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
511,Batemans Bay,AU,71.1,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
512,Itatinga,BR,65.53,overcast clouds,-23.1017,-48.6158,Hotel Restaurante Nova Itatinga
513,Paita,PE,77.2,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
515,Constitucion,CL,59.88,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
518,Sangmelima,CM,67.71,broken clouds,2.9333,11.9833,gamestar hotel
521,Machilipatnam,IN,75.83,overcast clouds,16.1667,81.1333,R&B Bungalow
522,Upington,ZA,64.09,overcast clouds,-28.4478,21.2561,River Place Manor
525,Zhaotong,CN,58.91,clear sky,27.3167,103.7167,Jingguan Home
526,Road Town,VG,77.04,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
527,Maham,IN,66.24,clear sky,28.9833,76.3,Shri Jangid Brahman Dharamshals
529,Sanwer,IN,61.45,clear sky,22.9833,75.8333,STARiHOTELS Hari Phatak Indore
530,Qiryat Yam,IL,49.98,overcast clouds,32.8508,35.0703,Sweet home
531,Sao Gabriel Da Cachoeira,BR,72.19,light rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
533,Pascagoula,US,50.04,clear sky,30.3658,-88.5561,Regency Inn
535,Vila Franca Do Campo,PT,55.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
542,Marsa Matruh,EG,50.88,overcast clouds,31.3525,27.2453,Beau Site
544,Taoudenni,ML,74.37,clear sky,22.6783,-3.9836,
549,Roswell,US,46.08,clear sky,34.0232,-84.3616,La Quinta Inn & Suites by Wyndham Atlanta Roswell
552,Sao Joao Da Barra,BR,77.92,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
553,Asosa,ET,69.26,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
556,Aberdour,GB,48.34,few clouds,56.05,-3.3,Aberdour Hotel & Stables Rooms
558,Sabancuy,MX,73.87,overcast clouds,18.9667,-91.1833,pulpo
559,Ojinaga,MX,74.35,clear sky,29.5667,-104.4167,Suites Las Palmas
563,Phalaborwa,ZA,72.68,clear sky,-23.943,31.1411,Bothabelo Bed and Breakfast
566,Dedza,MW,57.34,overcast clouds,-14.3779,34.3332,Kapeleta Dedza Estates
567,Marrakesh,MA,57.27,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
568,Eureka,US,57.67,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
570,Eyl,SO,74.7,broken clouds,7.9803,49.8164,Amiin Hotel
571,Springbok,ZA,50.59,few clouds,-29.6643,17.8865,Undulata Country Lodge
575,Charlestown,AU,76.82,few clouds,-32.95,151.6667,Panorama Motor Inn Hotel
577,Ayr,GB,46.29,overcast clouds,55.4627,-4.6339,Mercure Ayr Hotel
581,Zhangye,CN,49.57,few clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
582,Joshimath,IN,50.34,clear sky,30.5667,79.5667,Shivalik Camps & Resort
587,Plettenberg Bay,ZA,60.03,light rain,-34.0527,23.3716,Thanda Vista B&B
589,Codajas,BR,73.67,moderate rain,-3.8367,-62.0569,Atlântic Hotel
590,Paranagua,BR,69.28,overcast clouds,-25.52,-48.5092,Hotel Camboa Paranaguá
591,Balkanabat,TM,48.52,overcast clouds,39.5108,54.3671,Nebitchi Hotel
595,Chimay,BE,45.82,overcast clouds,50.0486,4.3171,Le Petit Chapitre Chimay
601,Kaniama,CD,62.56,overcast clouds,-7.5667,24.1833,
604,Ygatimi,PY,69.75,broken clouds,-24.0833,-55.5,
605,Hasaki,JP,70.29,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
606,Margate,GB,46.31,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
608,Ringas,IN,69.94,clear sky,27.35,75.5667,SPOT ON 62216 Hotel Shahi Niwas
609,Coolum Beach,AU,76.33,overcast clouds,-26.5333,153.1,Coolum Beach Resort
611,San Quintin,MX,60.37,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
616,Shimoda,JP,71.1,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
617,Talavera De La Reina,ES,47.26,overcast clouds,39.9635,-4.8308,Be Live City Center Talavera
620,Dongkan,CN,58.91,broken clouds,33.9997,119.8308,Triumphal Resort
621,Ponta Delgada,PT,55.51,broken clouds,37.7333,-25.6667,Vila Nova Hotel
622,Seoul,KR,49.39,light rain,37.5683,126.9778,롯데호텔 서울
624,Puerto Lempira,HN,77.18,scattered clouds,15.2667,-83.7667,Puerto Lempira gracias a Dios
625,Baffa,PK,62.51,overcast clouds,34.4378,73.2194,Kisan veternary store Baffa
626,Kondagaon,IN,63.03,clear sky,19.6,81.6667,AYAN MOTER
628,Pecos,US,71.69,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos
629,Moche,PE,69.98,fog,-8.1711,-79.0092,Wyndham Costa del Sol Trujillo
632,Gabu,GW,72.25,scattered clouds,12.2833,-14.2167,Hotel karsa
634,Tondon,GN,68.83,broken clouds,10.3667,-13.35,
637,Longhua,CN,74.17,overcast clouds,23.6137,114.1919,Huadu Hotel
639,Ilhabela,BR,76.64,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
640,Raga,SS,75.69,overcast clouds,8.4596,25.678,
641,Aljezur,PT,51.26,overcast clouds,37.3191,-8.8033,Amazigh Hostel
642,Dabhol,IN,77.38,clear sky,17.6,73.1667,Ashwamedh Resort
643,Ixtapa,MX,72.63,clear sky,20.7,-105.2,hotel la terminal
644,Molepolole,BW,64.54,broken clouds,-24.4066,25.4951,Butterfly Tree Guesthouse
645,Atchison,US,59.5,clear sky,39.563,-95.1216,"Quality Inn, Atchison"
647,Villa Del Rosario,CO,77.38,scattered clouds,7.8339,-72.4742,Hotel Villas de San Diego
650,Tome,CL,61.41,clear sky,-36.6167,-72.95,Hotel Saint Denis
