City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Saint Anthony,US,45.0205,-93.218,38.8,65,40,5.75,scattered clouds
79,Aklavik,CA,68.2191,-135.0107,2.03,83,100,9.44,overcast clouds
80,Rio Gallegos,AR,-51.6226,-69.2181,48.25,46,0,27.63,clear sky
81,Arraial Do Cabo,BR,-22.9661,-42.0278,77.74,87,6,16.2,clear sky
82,Henties Bay,NA,-22.116,14.2845,62.87,92,95,10.04,overcast clouds
83,Hilo,US,19.7297,-155.09,82.13,67,75,12.66,broken clouds
84,Paka,MY,4.6374,103.4368,79.83,86,94,3.06,overcast clouds
85,Sola,VU,-13.8833,167.55,82.08,74,62,7.76,broken clouds
86,Puerto Colombia,CO,10.9878,-74.9547,78.89,83,86,23.89,overcast clouds
87,Ashibetsu,JP,43.5097,142.1856,37.26,74,35,2.93,scattered clouds
88,Yulara,AU,-25.2406,130.9889,91.24,14,23,6.91,few clouds
89,Falmouth,GB,50.1544,-5.0711,43.7,78,100,3.02,overcast clouds
90,Torbay,CA,47.6666,-52.7314,23.4,85,75,34.52,light shower snow
91,Aknada,RU,42.4016,46.1723,4.75,88,51,3.53,broken clouds
92,Quebo,GW,11.3333,-14.9333,70.14,89,46,3.8,scattered clouds
93,Ambunti,PG,-4.2365,142.8448,89.26,60,32,2.28,scattered clouds
94,Lompoc,US,34.6391,-120.4579,68.56,83,75,14.97,broken clouds
95,Ketchikan,US,55.3422,-131.6461,43.27,75,100,9.22,light rain
96,Kodiak,US,57.79,-152.4072,38.71,87,100,20.71,mist
97,Kapaa,US,22.0752,-159.319,80.58,67,58,5.99,broken clouds
98,Big Rapids,US,43.6981,-85.4837,32.09,76,0,0.0,clear sky
99,Shache,CN,38.4167,77.2406,52.27,33,69,5.61,broken clouds
100,Baracoa,CU,20.3467,-74.4958,76.26,86,24,8.52,few clouds
101,Aden,YE,12.7794,45.0367,77.31,70,2,14.79,clear sky
102,Lavrentiya,RU,65.5833,-171.0,12.11,73,0,2.91,clear sky
103,Valle De Allende,MX,26.9333,-105.4,66.79,9,97,5.73,overcast clouds
104,Padang,ID,-0.9492,100.3543,77.05,87,88,2.98,overcast clouds
105,Chuy,UY,-33.6971,-53.4616,60.55,80,0,5.59,clear sky
106,Puerto Berrio,CO,6.4916,-74.4033,74.86,95,79,2.17,broken clouds
107,Nuuk,GL,64.1835,-51.7216,7.41,61,100,20.71,light snow
108,Ust-Nera,RU,64.5667,143.2,4.71,92,100,3.2,overcast clouds
109,Tuktoyaktuk,CA,69.4541,-133.0374,-3.68,88,100,10.74,overcast clouds
110,Walvis Bay,NA,-22.9575,14.5053,62.1,88,16,13.82,few clouds
111,Batagay,RU,67.6333,134.6333,-9.56,96,100,2.53,overcast clouds
112,Ayagoz,KZ,47.9714,80.4392,26.08,97,100,9.48,overcast clouds
113,Tagusao,PH,9.1924,117.8141,83.26,71,67,0.29,broken clouds
